CurrentSites,FutureSites,Duration,Distance,Traffic
"North Lakes Specialist Medical Centre, QLD 4509","33 Park Rd, QLD 4064",31.1,28.8,36.5
"Northwest Private Hospital, QLD 4053","33 Park Rd, QLD 4064",19.5,14.3,22.3
"St Andrew's Place, QLD 4000","33 Park Rd, QLD 4064",6.7,3,8.4
"Sunnybank Centre for Women, QLD 4109","33 Park Rd, QLD 4064",17.2,15.8,23.7
"The Wesley Hospital, QLD 4066","33 Park Rd, QLD 4064",4.1,1.2,4.3
"North Lakes Specialist Medical Centre, QLD 4509","339 Coronation Dr, QLD 4064",32.4,29.2,38.2
"Northwest Private Hospital, QLD 4053","339 Coronation Dr, QLD 4064",20.8,14.7,24.1
"St Andrew's Place, QLD 4000","339 Coronation Dr, QLD 4064",7.9,3.5,10.6
"Sunnybank Centre for Women, QLD 4109","339 Coronation Dr, QLD 4064",17.9,16,24.2
"The Wesley Hospital, QLD 4066","339 Coronation Dr, QLD 4064",3.3,0.9,3.2
"North Lakes Specialist Medical Centre, QLD 4509","Kings Row Office Park, QLD 4064",31,28.6,37.2
"Northwest Private Hospital, QLD 4053","Kings Row Office Park, QLD 4064",19.4,14.1,22.1
"St Andrew's Place, QLD 4000","Kings Row Office Park, QLD 4064",6.6,2.8,8.2
"Sunnybank Centre for Women, QLD 4109","Kings Row Office Park, QLD 4064",17.5,15.9,23.9
"The Wesley Hospital, QLD 4066","Kings Row Office Park, QLD 4064",5,1.4,5.1
"North Lakes Specialist Medical Centre, QLD 4509","RiverCity Private Hospital, QLD 4066",34,29.9,39.6
"Northwest Private Hospital, QLD 4053","RiverCity Private Hospital, QLD 4066",23.1,12.5,25.4
"St Andrew's Place, QLD 4000","RiverCity Private Hospital, QLD 4066",9.6,4.1,11.3
"Sunnybank Centre for Women, QLD 4109","RiverCity Private Hospital, QLD 4066",20.8,16.9,27.2
"The Wesley Hospital, QLD 4066","RiverCity Private Hospital, QLD 4066",4.3,0.8,4.2
"North Lakes Specialist Medical Centre, QLD 4509","141 Campbell St, QLD 4006",26,24.3,37.8
"Northwest Private Hospital, QLD 4053","141 Campbell St, QLD 4006",13,9.5,20.5
"St Andrew's Place, QLD 4000","141 Campbell St, QLD 4006",5.8,3.9,7.6
"Sunnybank Centre for Women, QLD 4109","141 Campbell St, QLD 4006",18.1,18.6,26.2
"The Wesley Hospital, QLD 4066","141 Campbell St, QLD 4006",9.3,5.8,14