Competitor,Location,lon,lat
Queensland Fertility Group,Cairns,145.77000,-16.92000
Queensland Fertility Group,Townsville,146.80000,-19.28000
Queensland Fertility Group,Mackay,149.16000,-21.13000
Queensland Fertility Group,Spring Hill (Little Edward Street),153.02000,-27.46000
Queensland Fertility Group,Spring Hill (Watkins Medical Centre),153.02000,-27.47000
Queensland Fertility Group,Everton Park,152.99000,-27.39000
Queensland Fertility Group,Sunshine Coast,153.12000,-26.73000
Queensland Fertility Group,Toowoomba,151.97000,-27.57000
Queensland Fertility Group,Gold Coast,153.39000,-28.01000
Queensland Fertility Group,Hervey Bay,152.82000,-25.30000
Queensland Fertility Group,Gympie,152.66000,-26.18000
Queensland Fertility Group,Balina,153.56000,-28.87000
City Fertility,Sunnybank,153.06000,-27.57000
City Fertility,Brisbane CBD,153.04000,-27.45000
City Fertility,Robina,153.38000,-28.07000
City Fertility,Toowoomba,151.97000,-27.57000
Care Fertility,Greenslopes,153.05000,-27.51000
Care Fertility,Toowoomba,151.97000,-27.57000
Life Fertility (Bulk Billed IVF),Springhill,153.02000,-27.46000
Life Fertility (Bulk Billed IVF),North Lakes,153.02000,-27.24000
Nurturing your Fertility,Robina,153.38000,-28.07000
Fertility Solutions,Bundaberg,152.34000,-24.87000
Fertility Solutions,Buderim,153.09000,-26.68000
The Fertility Centre,Springwood,153.13000,-27.62000
The Fertility Centre,Gold Coast,153.39000,-28.01000
First Step Fertility,Gold Coast,153.42000,-27.97000
First Step Fertility,Springfield,152.90000,-27.68000
First Step Fertility,North Lakes,153.02000,-27.24000
First Step Fertility,Toowoomba,151.95000,-27.57000
Adora Fertility,Taringa,152.98000,-27.49000
Adora Fertility,Robina,153.38000,-28.07000
IVF4family,Greenslopes,153.05000,-27.51000
IVF4family,Toowoomba,151.97000,-27.57000